Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
2.940	3.273E-3	2.718E-2	0.425	2.464E-2
2.950	8.935E-3	2.718E-2	0.661	6.371E-2
2.960	1.648E-2	3.095E-2	0.849	0.102
2.970	2.592E-2	3.095E-2	0.661	5.891E-2
2.980	2.970E-2	3.095E-2	0.472	3.005E-2
2.990	3.536E-2	3.095E-2	0.425	2.434E-2
3.000	3.819E-2	3.095E-2	0.472	3.005E-2
3.010	4.479E-2	3.095E-2	0.708	6.882E-2
3.020	5.234E-2	3.284E-2	0.661	6.161E-2
3.030	5.801E-2	3.379E-2	0.472	3.126E-2
3.040	6.178E-2	3.473E-2	0.472	3.276E-2
3.050	6.744E-2	3.662E-2	0.425	2.555E-2
3.060	7.027E-2	3.662E-2	0.283	1.082E-2
3.070	7.310E-2	3.662E-2	0.283	1.112E-2
3.080	7.593E-2	3.756E-2	0.283	1.202E-2
3.090	7.877E-2	3.850E-2	0.283	1.352E-2
3.100	8.160E-2	4.039E-2	0.377	2.404E-2
3.110	8.631E-2	4.228E-2	0.236	8.716E-3
3.120	8.631E-2	4.228E-2	-0.189	6.011E-3
3.130	8.254E-2	4.039E-2	-0.377	1.953E-2
3.140	7.877E-2	4.322E-2	-0.189	7.513E-3
3.150	7.877E-2	4.322E-2	-9.437E-2	1.503E-3
3.160	7.688E-2	4.417E-2	-0.189	5.109E-3
3.170	7.499E-2	4.417E-2	-0.189	4.809E-3
3.180	7.310E-2	4.417E-2	-0.236	7.513E-3
3.190	7.027E-2	4.417E-2	-0.189	4.809E-3
3.200	6.933E-2	4.417E-2	-0.236	7.513E-3
3.210	6.555E-2	4.417E-2	-0.330	1.473E-2
3.220	6.272E-2	4.417E-2	-0.425	2.434E-2
3.230	5.706E-2	4.417E-2	-0.425	2.434E-2
3.240	5.423E-2	4.417E-2	-0.377	1.923E-2
3.250	4.951E-2	4.417E-2	-0.708	6.882E-2
3.260	4.008E-2	4.228E-2	-0.708	6.882E-2
3.270	3.536E-2	4.228E-2	-0.613	5.079E-2
3.280	2.781E-2	4.228E-2	-0.566	4.328E-2
3.290	2.403E-2	4.228E-2	-0.519	3.757E-2
3.300	1.743E-2	4.039E-2	-0.519	3.907E-2
3.310	1.365E-2	3.945E-2	-0.519	3.757E-2
3.320	7.048E-3	3.850E-2	-0.519	3.667E-2
3.330	3.273E-3	3.850E-2	-0.661	5.891E-2
3.340	-6.163E-3	3.850E-2	-0.755	7.724E-2
3.350	-1.182E-2	3.756E-2	-0.661	6.011E-2
3.360	-1.937E-2	3.662E-2	-0.661	6.011E-2
3.370	-2.504E-2	3.567E-2	-0.566	4.358E-2
3.380	-3.070E-2	3.567E-2	-0.802	9.166E-2
3.390	-4.108E-2	3.190E-2	-0.849	0.105
3.400	-4.768E-2	3.095E-2	-0.472	3.035E-2
3.410	-5.051E-2	3.095E-2	-0.283	1.202E-2
3.420	-5.335E-2	2.907E-2	-0.236	1.022E-2
3.430	-5.523E-2	2.812E-2	-0.189	6.011E-3
3.440	-5.712E-2	2.718E-2	-0.236	1.022E-2
3.450	-5.995E-2	2.529E-2	-0.283	1.352E-2
3.460	-6.278E-2	2.435E-2	-0.142	3.907E-3
3.470	-6.278E-2	2.341E-2	0.000	3.005E-4
3.480	-6.278E-2	2.341E-2	0.000	0.000
3.490	-6.278E-2	2.341E-2	0.000	0.000
3.500	-6.278E-2	2.341E-2	0.000	0.000
3.510	-6.278E-2	2.341E-2	4.718E-2	6.011E-4
3.520	-6.184E-2	2.246E-2	0.189	7.513E-3
3.530	-5.901E-2	2.057E-2	0.236	1.022E-2
3.540	-5.712E-2	1.963E-2	0.283	1.352E-2
3.550	-5.335E-2	1.774E-2	0.472	3.486E-2
3.560	-4.768E-2	1.586E-2	0.566	4.448E-2
3.570	-4.202E-2	1.586E-2	0.377	1.923E-2
3.580	-4.013E-2	1.586E-2	0.377	1.923E-2
3.590	-3.447E-2	1.586E-2	0.755	7.694E-2
3.600	-2.504E-2	1.586E-2	0.661	5.891E-2
3.610	-2.126E-2	1.586E-2	0.519	3.667E-2
3.620	-1.466E-2	1.491E-2	0.755	7.694E-2
3.630	-6.163E-3	1.586E-2	0.566	4.358E-2
3.640	-3.332E-3	1.586E-2	0.661	6.011E-2
3.650	7.048E-3	1.774E-2	0.755	7.814E-2
3.660	1.177E-2	1.774E-2	0.425	2.555E-2
3.670	1.554E-2	1.963E-2	0.472	3.126E-2
3.680	2.120E-2	1.963E-2	0.661	6.371E-2
3.690	2.875E-2	1.586E-2	0.566	4.598E-2
3.700	3.253E-2	1.680E-2	0.566	4.448E-2
3.710	4.008E-2	1.774E-2	0.755	8.175E-2
3.720	4.763E-2	2.057E-2	0.708	7.033E-2
3.730	5.423E-2	2.057E-2	0.425	2.434E-2
3.740	5.612E-2	2.057E-2	0.283	1.112E-2
3.750	5.989E-2	2.152E-2	0.613	5.109E-2
3.760	6.839E-2	2.152E-2	0.661	6.011E-2
3.770	7.310E-2	2.341E-2	0.377	2.194E-2
3.780	7.593E-2	2.435E-2	0.283	1.112E-2
3.790	7.877E-2	2.435E-2	0.236	7.814E-3
3.800	8.065E-2	2.529E-2	0.283	1.112E-2
3.810	8.443E-2	2.529E-2	0.425	2.464E-2
3.820	8.915E-2	2.624E-2	0.236	7.814E-3
3.830	8.915E-2	2.624E-2	0.000	0.000
3.840	8.915E-2	2.624E-2	-4.718E-2	1.503E-3
3.850	8.820E-2	2.812E-2	-0.236	1.022E-2
3.860	8.443E-2	2.907E-2	-0.283	1.112E-2
3.870	8.254E-2	2.907E-2	-0.189	4.809E-3
3.880	8.065E-2	2.907E-2	-0.142	2.705E-3
3.890	7.971E-2	2.907E-2	-0.283	1.112E-2
3.900	7.499E-2	3.001E-2	-0.377	2.404E-2
3.910	7.216E-2	3.284E-2	-0.330	1.743E-2
3.920	6.839E-2	3.284E-2	-0.377	1.923E-2
3.930	6.461E-2	3.284E-2	-0.425	2.555E-2
3.940	5.989E-2	3.473E-2	-0.519	3.907E-2
3.950	5.423E-2	3.567E-2	-0.519	3.667E-2
3.960	4.951E-2	3.567E-2	-0.613	5.109E-2
3.970	4.196E-2	3.662E-2	-0.519	3.667E-2
3.980	3.913E-2	3.662E-2	-0.425	2.434E-2
3.990	3.347E-2	3.662E-2	-0.661	6.011E-2
4.000	2.592E-2	3.850E-2	-0.661	6.011E-2
4.010	2.026E-2	3.850E-2	-0.661	5.891E-2
4.020	1.271E-2	3.850E-2	-0.566	4.328E-2
4.030	8.935E-3	3.850E-2	-0.566	4.328E-2
4.040	1.386E-3	3.850E-2	-1.038	0.148
4.050	-1.182E-2	4.133E-2	-0.991	0.135
4.060	-1.843E-2	4.133E-2	-0.425	2.464E-2
4.070	-2.032E-2	4.228E-2	-0.425	2.464E-2
4.080	-2.692E-2	4.228E-2	-0.472	3.005E-2
4.090	-2.975E-2	4.228E-2	-0.566	4.809E-2
4.100	-3.825E-2	3.850E-2	-0.613	5.560E-2
4.110	-4.202E-2	3.850E-2	-0.472	3.005E-2
4.120	-4.768E-2	3.850E-2	-0.566	4.328E-2
4.130	-5.335E-2	3.850E-2	-0.377	1.923E-2
4.140	-5.523E-2	3.850E-2	-0.236	8.716E-3
4.150	-5.806E-2	3.662E-2	-0.377	2.044E-2
4.160	-6.278E-2	3.662E-2	-0.330	1.473E-2
4.170	-6.467E-2	3.662E-2	-0.283	1.082E-2
4.180	-6.844E-2	3.662E-2	-0.283	1.112E-2
4.190	-7.033E-2	3.756E-2	-9.437E-2	1.503E-3
4.200	-7.033E-2	3.756E-2	0.000	0.000
4.210	-7.033E-2	3.756E-2	0.283	1.202E-2
4.220	-6.467E-2	3.567E-2	0.283	1.202E-2
4.230	-6.467E-2	3.567E-2	0.189	4.809E-3
4.240	-6.089E-2	3.567E-2	0.283	1.082E-2
4.250	-5.901E-2	3.567E-2	0.330	1.503E-2
4.260	-5.429E-2	3.662E-2	0.425	2.464E-2
4.270	-5.051E-2	3.662E-2	0.236	7.513E-3
4.280	-4.957E-2	3.662E-2	0.236	7.513E-3
4.290	-4.580E-2	3.662E-2	0.613	5.199E-2
4.300	-3.730E-2	3.473E-2	0.661	6.011E-2
4.310	-3.259E-2	3.473E-2	0.425	2.434E-2
4.320	-2.881E-2	3.473E-2	0.661	6.011E-2
4.330	-1.937E-2	3.284E-2	0.755	7.814E-2
4.340	-1.371E-2	3.284E-2	0.708	6.792E-2
4.350	-5.219E-3	3.190E-2	0.708	6.882E-2
4.360	4.425E-4	3.095E-2	0.613	5.350E-2
4.370	7.048E-3	2.907E-2	0.566	4.598E-2
4.380	1.177E-2	2.812E-2	0.661	6.011E-2
4.390	2.026E-2	2.718E-2	0.708	6.792E-2
4.400	2.592E-2	2.718E-2	0.613	5.079E-2
4.410	3.253E-2	2.718E-2	0.566	4.328E-2
4.420	3.724E-2	2.718E-2	0.519	3.636E-2
4.430	4.291E-2	2.718E-2	0.566	4.358E-2
4.440	4.857E-2	2.624E-2	0.613	5.350E-2
4.450	5.517E-2	2.435E-2	0.661	6.161E-2
4.460	6.178E-2	2.341E-2	0.519	3.667E-2
4.470	6.555E-2	2.341E-2	0.425	2.434E-2
4.480	7.027E-2	2.341E-2	0.377	1.923E-2
4.490	7.310E-2	2.341E-2	9.437E-2	2.404E-3
4.500	7.216E-2	2.152E-2	4.718E-2	1.503E-3
4.510	7.405E-2	2.152E-2	0.236	7.513E-3
4.520	7.688E-2	2.152E-2	0.142	2.705E-3
4.530	7.688E-2	2.152E-2	4.718E-2	3.005E-4
4.540	7.782E-2	2.152E-2	4.718E-2	3.005E-4
4.550	7.782E-2	2.152E-2	4.718E-2	5.109E-3
4.560	7.877E-2	1.774E-2	-0.142	7.513E-3
4.570	7.499E-2	1.774E-2	-0.283	1.082E-2
4.580	7.310E-2	1.774E-2	-0.142	2.705E-3
4.590	7.216E-2	1.774E-2	-0.236	7.513E-3
4.600	6.839E-2	1.774E-2	-0.330	1.473E-2
4.610	6.555E-2	1.774E-2	-0.236	7.513E-3
4.620	6.367E-2	1.774E-2	-0.283	1.082E-2
