#initial-angle1(-30.7)	initial-angle2(0)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
12.8	-4.93E-02	1.37E-01	-8.01E-02	-1.73E-01	-1.06E-01	1.93E-02	-3.22E-01	2.28E-02
12.9	-5.73E-02	1.38E-01	-1.12E-01	-1.70E-01	-6.76E-02	1.45E-02	-3.07E-01	4.56E-02
13	-6.28E-02	1.40E-01	-1.41E-01	-1.64E-01	-4.00E-02	1.24E-02	-2.88E-01	7.59E-02
13.1	-6.53E-02	0.141	-1.70E-01	-1.55E-01	-2.14E-02	4.14E-03	-0.242	1.01E-01
13.2	-6.71E-02	0.141	-1.90E-01	-1.43E-01	-2.07E-03	1.38E-03	-1.79E-01	1.15E-01
13.3	-6.57E-02	0.141	-2.06E-01	-1.32E-01	2.28E-02	-1.38E-03	-1.35E-01	1.11E-01
13.4	-6.25E-02	0.141	-2.17E-01	-1.21E-01	2.55E-02	-1.38E-03	-8.28E-02	1.09E-01
13.5	-6.06E-02	0.141	-2.22E-01	-1.10E-01	2.90E-02	-4.83E-03	-2.90E-02	8.21E-02
13.6	-5.67E-02	0.14	-2.23E-01	-1.05E-01	3.52E-02	-1.17E-02	1.31E-02	4.21E-02
13.7	-5.36E-02	0.138	-2.20E-01	-1.02E-01	4.14E-02	-8.28E-03	7.18E-02	-1.10E-02
13.8	-4.85E-02	0.138	-2.08E-01	-1.07E-01	4.21E-02	-1.17E-02	1.15E-01	-6.83E-02
13.9	-4.51E-02	0.136	-1.97E-01	-1.15E-01	4.00E-02	-1.31E-02	1.32E-01	-9.11E-02
14	-4.05E-02	0.135	-1.82E-01	-1.25E-01	5.25E-02	-1.38E-03	1.86E-01	-1.23E-01
14.1	-3.47E-02	0.136	-1.59E-01	-1.40E-01	4.00E-02	-8.28E-03	2.33E-01	-1.37E-01
14.2	-3.24E-02	0.134	-1.35E-01	-1.53E-01	3.73E-02	-1.38E-02	2.88E-01	-1.33E-01
14.3	-2.72E-02	0.133	-1.02E-01	-1.66E-01	4.69E-02	-4.83E-03	3.37E-01	-1.16E-01
14.4	-2.31E-02	0.133	-6.78E-02	-1.76E-01	2.97E-02	-6.90E-04	3.55E-01	-7.18E-02
14.5	-2.13E-02	0.133	-3.06E-02	-1.81E-01	3.18E-02	0.00E+00	3.79E-01	-1.52E-02
14.6	-1.67E-02	0.133	8.01E-03	-1.79E-01	4.28E-02	0.00E+00	3.75E-01	2.97E-02
14.7	-1.27E-02	0.133	4.43E-02	-1.75E-01	5.94E-02	-2.76E-03	0.358	5.94E-02
14.8	-4.83E-03	0.132	7.97E-02	-1.67E-01	8.42E-02	-2.76E-03	3.42E-01	7.94E-02
14.9	4.14E-03	0.132	1.13E-01	-1.59E-01	8.01E-02	-2.07E-03	2.97E-01	7.66E-02
15	1.12E-02	0.132	1.39E-01	-1.52E-01	1.08E-01	0.00E+00	2.46E-01	6.49E-02
15.1	2.58E-02	0.132	1.62E-01	-1.46E-01	1.28E-01	2.76E-03	2.19E-01	5.60E-02
15.2	3.69E-02	0.132	1.83E-01	-1.40E-01	1.18E-01	1.59E-02	1.86E-01	3.59E-02
15.3	4.94E-02	0.135	1.99E-01	-1.39E-01	1.30E-01	2.76E-02	1.37E-01	1.44E-02
15.4	6.30E-02	0.138	2.10E-01	-1.38E-01	1.11E-01	2.21E-02	8.40E-02	5.12E-03
15.5	7.16E-02	1.40E-01	2.16E-01	-1.38E-01	1.00E-01	2.28E-02	3.38E-02	-7.17E-03
15.6	8.30E-02	1.42E-01	2.17E-01	-1.39E-01	9.66E-02	2.83E-02	-2.05E-03	-2.36E-02
15.7	9.10E-02	1.45E-01	2.16E-01	-1.42E-01	7.87E-02	2.69E-02	-4.51E-02	-2.77E-02
15.8	9.87E-02	0.148	2.08E-01	-1.44E-01	6.21E-02	1.93E-02	-0.102	-1.85E-02
15.9	1.03E-01	0.149	1.95E-01	-1.46E-01	2.42E-02	7.59E-03	-0.148	-2.87E-02
16	1.04E-01	0.149	1.79E-01	-1.50E-01	-6.90E-03	-1.38E-03	-0.17	-4.00E-02
16.1	1.02E-01	0.149	1.61E-01	-1.54E-01	-3.59E-02	-7.59E-03	-0.178	-3.90E-02
16.2	9.64E-02	0.148	1.43E-01	-1.58E-01	-5.66E-02	-2.21E-02	-0.199	-4.41E-02
16.3	9.07E-02	0.145	1.21E-01	-1.63E-01	-8.63E-02	-3.31E-02	-2.27E-01	-5.20E-02
16.4	7.91E-02	0.141	9.76E-02	-1.68E-01	-1.19E-01	-3.38E-02	-2.40E-01	-4.47E-02
16.5	6.70E-02	0.138	7.33E-02	-1.72E-01	-1.44E-01	-2.90E-02	-0.251	-4.07E-02
16.6	5.03E-02	0.135	4.75E-02	-1.77E-01	-1.75E-01	-2.49E-02	-0.26	-3.66E-02
16.7	3.20E-02	0.133	2.13E-02	-1.79E-01	-1.88E-01	-2.07E-02	-0.258	-1.52E-02
16.8	1.27E-02	0.131	-4.14E-03	-1.80E-01	-1.88E-01	-8.28E-03	-0.259	3.45E-03
16.9	-5.52E-03	0.131	-3.05E-02	-1.78E-01	-1.75E-01	2.76E-03	-0.262	1.86E-02
17	-2.24E-02	1.32E-01	-5.65E-02	-1.76E-01	-1.68E-01	1.45E-02	-0.261	2.90E-02
17.1	-3.92E-02	1.34E-01	-8.27E-02	-1.73E-01	-1.63E-01	3.04E-02	-2.62E-01	3.59E-02
17.2	-5.49E-02	0.138	-1.09E-01	-1.69E-01	-1.34E-01	3.31E-02	-2.46E-01	4.42E-02
17.3	-6.60E-02	0.141	-1.32E-01	-1.64E-01	-1.06E-01	2.97E-02	-2.26E-01	4.49E-02
17.4	-7.61E-02	0.144	-1.54E-01	-1.60E-01	-7.80E-02	2.55E-02	-2.05E-01	4.69E-02
17.5	-8.16E-02	0.146	-1.73E-01	-1.54E-01	-4.28E-02	1.45E-02	-1.70E-01	4.97E-02
17.6	-8.46E-02	0.147	-1.88E-01	-1.50E-01	-1.93E-02	5.52E-03	-1.15E-01	3.66E-02
17.7	-8.55E-02	0.147	-1.96E-01	-1.47E-01	0.00E+00	6.90E-04	-8.42E-02	3.24E-02
17.8	-8.46E-02	1.47E-01	-2.05E-01	-1.43E-01	1.79E-02	-6.21E-03	-7.66E-02	4.69E-02
17.9	-8.19E-02	0.146	-2.11E-01	-1.38E-01	4.83E-02	-1.73E-02	-2.55E-02	4.07E-02
18	-7.50E-02	0.143	-2.10E-01	-1.35E-01	7.52E-02	-2.55E-02	2.28E-02	2.83E-02
18.1	-6.68E-02	0.141	-2.07E-01	-1.32E-01	8.70E-02	-2.42E-02	6.28E-02	2.21E-02
18.2	-5.76E-02	0.139	-1.97E-01	-1.31E-01	1.00E-01	-2.21E-02	1.15E-01	-5.52E-03
18.3	-4.68E-02	0.136	-1.84E-01	-1.33E-01	9.39E-02	-1.93E-02	1.61E-01	-3.45E-02
18.4	-3.88E-02	0.135	-1.65E-01	-1.38E-01	9.39E-02	-1.66E-02	1.98E-01	-5.25E-02
18.5	-2.80E-02	0.133	-1.44E-01	-1.44E-01	9.80E-02	-8.97E-03	2.41E-01	-7.18E-02
18.6	-1.92E-02	0.133	-1.17E-01	-1.52E-01	9.73E-02	-4.83E-03	2.68E-01	-7.59E-02
18.7	-8.56E-03	0.132	-9.04E-02	-1.59E-01	9.59E-02	-8.28E-03	3.02E-01	-7.94E-02
18.8	0.00E+00	0.131	-5.65E-02	-1.68E-01	8.35E-02	-3.45E-03	3.48E-01	-7.66E-02
18.9	8.14E-03	0.131	-2.08E-02	-1.74E-01	6.70E-02	-6.90E-04	0.36	-4.69E-02
19	1.34E-02	0.131	1.56E-02	-1.77E-01	5.45E-02	6.90E-04	0.367	-1.10E-02
19.1	1.91E-02	0.131	5.26E-02	-1.76E-01	4.56E-02	2.07E-03	0.357	2.97E-02
19.2	2.25E-02	1.32E-01	8.70E-02	-1.71E-01	4.35E-02	1.38E-03	3.32E-01	7.11E-02
19.3	2.78E-02	1.32E-01	1.19E-01	-1.62E-01	5.18E-02	2.76E-03	3.05E-01	9.87E-02
